20
1239
0 20
108.781 10.4534 16
107.072 10.3487 17
105.997 9.91836 18
105.113 9.74181 19
0 20
148 12 0
147.071 12.7368 1
145.961 13.0666 2
144.349 13.3859 3
142.414 13.5076 4
140.317 13.7116 5
137.926 13.3296 6
135.304 12.9792 7
132.316 12.4178 8
129.21 11.847 9
126.311 11.2083 10
124.06 10.9949 11
121.794 10.7585 12
119.335 10.8106 13
116.861 10.7932 14
114.775 10.5794 15
112.743 10.4402 16
111.021 10.3464 17
109.94 9.92344 18
109.054 9.7531 19
0 20
160 12 0
159.055 12.7622 1
157.949 13.0683 2
156.333 13.3734 3
154.381 13.4638 4
152.284 13.6433 5
149.882 13.261 6
147.256 12.9099 7
144.251 12.3842 8
141.135 11.7965 9
138.218 11.1596 10
136.029 11.0059 11
133.775 10.7648 12
131.313 10.8156 13
128.84 10.7791 14
126.778 10.6009 15
124.746 10.4695 16
122.971 10.3763 17
121.875 9.9784 18
120.967 9.83037 19
0 20
164 12 0
163.053 12.7529 1
161.955 13.0435 2
160.339 13.3446 3
158.387 13.4315 4
156.292 13.6021 5
153.886 13.221 6
151.262 12.8693 7
148.255 12.3471 8
145.138 11.7453 9
142.207 11.0924 10
140.02 10.9454 11
137.774 10.7005 12
135.308 10.7536 13
132.836 10.7147 14
130.776 10.5377 15
128.743 10.4058 16
126.951 10.321 17
125.843 9.92697 18
124.931 9.78004 19
0 20
36 16 0
35.2968 16.5536 1
34.3852 16.8808 2
33.2368 17.1095 3
31.4294 17.1995 4
29.4704 17.3135 5
27.3565 17.15 6
24.9576 16.9194 7
22.1278 16.2361 8
19.1532 15.7086 9
16.4288 15.0739 10
14.3588 14.9759 11
12.2908 14.879 12
10.1277 14.8892 13
8.00701 14.8719 14
6.07927 14.7958 15
4.41128 14.6775 16
3.12419 14.5632 17
2.45952 14.1519 18
2.01024 13.9221 19
0 20
40 16 0
39.298 16.556 1
38.3788 16.9471 2
37.2162 17.2 3
35.4133 17.2976 4
33.4491 17.4201 5
31.3223 17.2378 6
28.8879 16.9898 7
26.0368 16.2732 8
23.0634 15.7464 9
20.334 15.1077 10
18.2568 15.0014 11
16.186 14.9016 12
14.0007 14.9146 13
11.866 14.8974 14
9.93765 14.8177 15
8.26062 14.6983 16
6.95284 14.5809 17
6.25871 14.1711 18
5.79014 13.9366 19
0 20
44 16 0
43.2981 16.558 1
42.3675 17.0209 2
41.2001 17.2912 3
39.4007 17.3983 4
37.4341 17.5303 5
35.2992 17.3311 6
32.8248 17.0681 7
29.9563 16.3024 8
26.984 15.794 9
24.2485 15.1519 10
22.1626 15.0386 11
20.0898 14.9364 12
17.8863 14.953 13
15.7323 14.9306 14
13.8011 14.848 15
12.1092 14.7284 16
10.7898 14.6074 17
10.0626 14.1978 18
9.57151 13.9546 19
0 20
48 16 0
47.2996 16.5605 1
46.3691 17.029 2
45.2035 17.3509 3
43.4078 17.4731 4
41.4393 17.6167 5
39.298 17.4044 6
36.8092 17.1358 7
33.9319 16.3572 8
30.9548 15.8619 9
28.2137 15.2182 10
26.1198 15.0983 11
24.0455 14.9947 12
21.8245 15.0147 13
19.6559 14.9916 14
17.7221 14.9065 15
16.0126 14.7869 16
14.6821 14.6578 17
13.932 14.2517 18
13.4131 13.9981 19
1 20
80 16 0
81.0001 17.3308 1
82.3229 20.2483 2
83.6995 24.219 3
85.082 28.0482 4
85.8748 29.972 5
85.6508 28.462 6
84.5099 25.0677 7
82.8135 20.5439 8
80.1012 17.2851 9
77.3157 15.59 10
75.0552 15.2947 11
72.5253 16.2006 12
69.4629 18.2257 13
65.8424 20.0162 14
62.383 19.7248 15
59.6324 19.1114 16
57.5136 17.6088 17
56.234 15.722 18
55.4632 13.9664 19
1 16
84 16 0
85.0749 17.3378 1
86.4122 20.296 2
87.8458 24.3447 3
89.3013 28.1268 4
90.2423 29.9566 5
90.2192 28.3541 6
89.2079 24.8295 7
87.5372 20.0793 8
84.9926 16.4203 9
82.2262 14.3738 10
79.9593 14.0709 11
77.2998 15.1063 12
73.9804 17.3883 13
70.1676 19.3532 14
66.6673 18.9908 15
1 16
88 16 0
89.23 17.225 1
90.5904 20.1527 2
92.0652 24.2134 3
93.5409 27.9566 4
94.4924 29.7241 5
94.5543 28.0866 6
93.5199 24.4695 7
91.6466 19.9951 8
89.1655 16.2232 9
86.4182 13.9982 10
84.0037 13.4379 11
81.188 14.5387 12
77.5769 16.787 13
73.7513 18.7164 14
70.2245 18.363 15
1 20
92 16 0
93.4505 16.9362 1
94.8161 19.5774 2
96.3501 23.3494 3
97.8289 26.9709 4
98.7224 28.7554 5
98.8224 27.0688 6
97.7406 23.5137 7
95.7441 19.0887 8
93.3214 15.364 9
90.5692 13.0915 10
88.1532 12.5313 11
85.102 13.5834 12
81.3913 15.8191 13
77.5577 17.7014 14
74.0353 17.3844 15
71.416 16.7997 16
69.2608 15.2201 17
67.9209 12.9896 18
67.1795 10.7262 19
1 5
96 16 0
97.7604 16.6849 1
99.59 18.5293 2
100.801 21.7642 3
102.092 25.1149 4
1 20
100 16 0
101.713 16.6247 1
103.454 18.3066 2
104.289 21.5447 3
105.337 24.7009 4
105.771 26.5191 5
105.897 24.9085 6
104.741 21.4185 7
102.585 17.5645 8
100.362 13.9959 9
97.6349 11.3306 10
95.1834 10.9432 11
92.3502 11.9021 12
88.7706 14.0342 13
84.5491 15.5046 14
81.197 15.2588 15
78.6119 14.7156 16
76.445 13.1064 17
75.2122 10.7453 18
74.4652 8.50902 19
0 8
120 16 0
119.279 16.6554 1
118.401 17.1532 2
116.886 17.6062 3
115.072 17.834 4
112.998 18.098 5
110.714 17.7381 6
108.131 17.3677 7
0 8
124 16 0
123.21 16.6661 1
122.196 17.0829 2
120.656 17.4955 3
118.773 17.6797 4
116.691 17.9235 5
114.394 17.5593 6
111.806 17.187 7
0 8
128 16 0
127.14 16.7028 1
126.078 17.0981 2
124.514 17.4788 3
122.624 17.653 4
120.54 17.8905 5
118.225 17.5235 6
115.631 17.1503 7
0 9
132 16 0
131.123 16.7149 1
130.039 17.1005 2
128.456 17.4574 3
126.558 17.6177 4
124.472 17.8548 5
122.14 17.4822 6
119.543 17.1119 7
116.58 16.5201 8
0 20
136 16 0
135.113 16.7226 1
134.021 17.1012 2
132.419 17.4367 3
130.501 17.5762 4
128.412 17.8115 5
126.061 17.4295 6
123.459 17.0605 7
120.485 16.4755 8
117.385 15.8724 9
114.538 14.9635 10
112.233 14.5926 11
109.587 14.6234 12
107.118 14.7124 13
104.63 14.717 14
102.53 14.4827 15
100.491 14.3167 16
98.8124 14.1674 17
97.7403 13.7108 18
96.8658 13.493 19
0 20
140 16 0
139.099 16.7299 1
138.002 17.098 2
136.398 17.4286 3
134.47 17.561 4
132.382 17.794 5
130.017 17.4061 6
127.41 17.0386 7
124.431 16.4562 8
121.33 15.868 9
118.439 15.1948 10
116.172 14.9063 11
113.898 14.672 12
111.438 14.7319 13
108.954 14.7242 14
106.856 14.4912 15
104.822 14.3343 16
103.131 14.2017 17
102.057 13.7509 18
101.181 13.5381 19
0 20
148 16 0
147.067 16.7559 1
145.962 17.0903 2
144.349 17.4082 3
142.414 17.5294 4
140.32 17.7361 5
137.931 17.3445 6
135.311 16.9867 7
132.318 16.4116 8
129.214 15.8331 9
126.308 15.1813 10
124.072 14.9627 11
121.807 14.7224 12
119.349 14.7721 13
116.873 14.7451 14
114.788 14.5281 15
112.752 14.3756 16
111.024 14.2707 17
109.939 13.8303 18
109.053 13.6483 19
0 20
160 16 0
159.055 16.7673 1
157.949 17.0761 2
156.331 17.381 3
154.379 17.4698 4
152.283 17.6511 5
149.879 17.2556 6
147.254 16.8989 7
144.25 16.3493 8
141.135 15.7332 9
138.208 15.0737 10
136.019 14.9022 11
133.763 14.6557 12
131.303 14.7033 13
128.828 14.6589 14
126.763 14.4693 15
124.728 14.331 16
122.952 14.2265 17
121.849 13.8049 18
120.944 13.6461 19
0 20
164 16 0
163.053 16.7662 1
161.953 17.0594 2
160.336 17.3608 3
158.383 17.447 4
156.288 17.621 5
153.878 17.2238 6
151.253 16.8654 7
148.244 16.3291 8
145.128 15.7032 9
142.194 15.0431 10
140.005 14.8821 11
137.756 14.6309 12
135.292 14.6814 13
132.816 14.6324 14
130.753 14.4465 15
128.718 14.3045 16
126.93 14.207 17
125.816 13.7906 18
124.907 13.6351 19
0 5
4 20 0
3.36701 20.5612 1
2.51154 20.8129 2
1.48909 20.9702 3
-0.260735 21.0497 4
0 9
16 20 0
15.3236 20.5559 1
14.4243 20.8056 2
13.3358 20.9769 3
11.5749 21.0604 4
9.63605 21.1602 5
7.57152 21.0483 6
5.25591 20.8465 7
2.41103 20.141 8
0 11
20 20 0
19.3154 20.5571 1
18.4098 20.809 2
17.3116 20.9856 3
15.5457 21.071 4
13.6023 21.1719 5
11.5316 21.0513 6
9.19081 20.8322 7
6.35082 20.1205 8
3.36441 19.5686 9
0.696744 18.9199 10
0 13
24 20 0
23.3107 20.5572 1
22.4029 20.8137 2
21.2951 20.9969 3
19.5072 21.0829 4
17.5577 21.185 5
15.4788 21.0553 6
13.1263 20.8333 7
10.2875 20.1188 8
7.30515 19.5736 9
4.63276 18.9215 10
2.57256 18.8403 11
0.509544 18.7494 12
0 17
32 20 0
31.3047 20.5605 1
30.3915 20.8454 2
29.2564 21.0586 3
27.449 21.1452 4
25.4947 21.2528 5
23.3943 21.0961 6
21.0137 20.8618 7
18.167 20.1234 8
15.1895 19.5851 9
12.4871 18.937 10
10.4216 18.8446 11
8.35441 18.7477 12
6.20511 18.7574 13
4.09459 18.7394 14
2.16524 18.6663 15
0.500586 18.5435 16
0 20
36 20 0
35.303 20.5634 1
34.3706 20.9276 2
33.2145 21.1683 3
31.4109 21.2608 4
29.4515 21.3771 5
27.3317 21.1956 6
24.9388 20.9512 7
22.0904 20.2052 8
19.1138 19.6665 9
16.3932 19.0189 10
14.3226 18.9173 11
12.2534 18.816 12
10.0839 18.828 13
7.95964 18.8087 14
6.03124 18.7301 15
4.36398 18.605 16
3.07925 18.4852 17
2.41496 18.064 18
1.96223 17.8145 19
0 20
40 20 0
39.3041 20.5643 1
38.372 21.0109 2
37.2033 21.27 3
35.406 21.3696 4
33.4409 21.4951 5
31.3106 21.2986 6
28.8749 21.0295 7
26.0113 20.2597 8
23.0341 19.7197 9
20.3069 19.0706 10
18.2276 18.9615 11
16.1556 18.8575 12
13.9665 18.8713 13
11.8297 18.8492 14
9.89959 18.7671 15
8.22435 18.639 16
6.92159 18.5149 17
6.22755 18.0872 18
5.75158 17.8239 19
0 20
44 20 0
43.3036 20.5648 1
42.3755 21.0281 2
41.2058 21.2974 3
39.4118 21.4046 4
37.4454 21.5362 5
35.3097 21.327 6
32.8408 21.0475 7
29.9716 20.2724 8
26.9949 19.7347 9
24.2624 19.0837 10
22.1755 18.9698 11
20.1019 18.8645 12
17.8963 18.8839 13
15.7434 18.8576 14
13.8108 18.774 15
12.1189 18.6447 16
10.8038 18.5153 17
10.0831 18.0865 18
9.58914 17.8191 19
0 20
68 20 0
67.3901 20.6069 1
66.4834 21.1262 2
65.3283 21.5162 3
63.5932 21.7382 4
61.62 21.9121 5
59.4472 21.5968 6
56.908 21.2772 7
54.0421 20.5041 8
51.0397 19.954 9
48.2815 19.2595 10
46.1332 19.1165 11
44.04 19.0163 12
41.7396 19.0762 13
39.4826 19.0748 14
37.5303 18.9786 15
35.6801 18.8481 16
34.2943 18.6632 17
33.4615 18.2253 18
32.8672 17.9214 19
1 6
76 20 0
77.0253 21.3017 1
78.3594 24.1847 2
79.7513 28.0349 3
81.0454 31.7396 4
81.7296 33.5781 5
1 20
80 20 0
81.0524 21.3 1
82.3995 24.1961 2
83.8382 28.102 3
85.2393 31.8326 4
86.0919 33.6741 5
86.0205 32.2231 6
85.0135 28.8056 7
83.3177 24.1733 8
80.7277 20.4407 9
78.0599 18.5499 10
75.7987 18.2536 11
73.0316 19.2126 12
69.6243 21.3298 13
65.7792 23.1669 14
62.2287 22.9538 15
58.9753 22.267 16
56.8775 20.8047 17
55.6242 18.8901 18
54.9494 17.1492 19
1 20
84 20 0
85.2624 21.2943 1
86.6729 24.2086 2
88.1797 28.1282 3
89.6498 31.8447 4
90.6105 33.6337 5
90.6912 32.1006 6
89.7843 28.4908 7
88.1223 23.7339 8
85.7325 19.8621 9
83.0467 17.7207 10
80.7675 17.3953 11
77.9045 18.4522 12
74.297 20.6656 13
70.329 22.5284 14
66.7494 22.2628 15
63.2012 21.488 16
61.0492 19.9218 17
59.7816 17.9554 18
59.1578 16.0078 19
1 20
88 20 0
89.5952 21.1332 1
91.2995 23.8512 2
92.9539 27.7375 3
94.4424 31.3241 4
95.4459 33.0746 5
95.7543 31.5342 6
94.9142 27.826 7
93.2444 23.0271 8
90.8537 19.1419 9
88.0992 16.8795 10
85.6852 16.3197 11
82.6126 17.3808 12
78.8579 19.5766 13
74.8221 21.2951 14
71.2666 20.9581 15
67.726 20.1851 16
65.5673 18.6099 17
64.2647 16.5528 18
63.6683 14.4651 19
0 7
124 20 0
123.3 20.6806 1
122.314 21.0935 2
120.781 21.5049 3
118.958 21.7285 4
116.883 21.9715 5
114.621 21.5915 6
0 7
128 20 0
127.166 20.7071 1
126.108 21.0945 2
124.552 21.4781 3
122.67 21.6491 4
120.587 21.8872 5
118.279 21.5092 6
0 8
132 20 0
131.126 20.7238 1
130.048 21.1045 2
128.466 21.4554 3
126.573 21.6128 4
124.487 21.85 5
122.158 21.467 6
119.562 21.0894 7
0 10
136 20 0
135.11 20.7332 1
134.019 21.1073 2
132.418 21.4414 3
130.5 21.5794 4
128.413 21.8149 5
126.064 21.4249 6
123.463 21.0495 7
120.497 20.4277 8
117.389 19.7615 9
0 20
140 20 0
139.098 20.7398 1
138.003 21.1073 2
136.398 21.4361 3
134.473 21.5659 4
132.385 21.7996 5
130.018 21.405 6
127.414 21.0294 7
124.433 20.4212 8
121.332 19.8171 9
118.428 19.1295 10
116.181 18.829 11
113.907 18.5927 12
111.446 18.6465 13
108.953 18.6235 14
106.851 18.3883 15
104.807 18.2129 16
103.103 18.0656 17
102.026 17.6 18
101.149 17.3745 19
0 20
144 20 0
143.08 20.7506 1
141.98 21.0982 2
140.369 21.4185 3
138.438 21.5403 4
136.349 21.7695 5
133.972 21.3719 6
131.363 20.9982 7
128.373 20.397 8
125.273 19.7925 9
122.365 19.118 10
120.128 18.8574 11
117.861 18.6167 12
115.401 18.6672 13
112.915 18.6331 14
110.818 18.4031 15
108.778 18.2325 16
107.058 18.1045 17
105.976 17.6431 18
105.096 17.4212 19
0 20
148 20 0
147.064 20.7631 1
145.961 21.0968 2
144.346 21.4092 3
142.408 21.5215 4
140.318 21.7277 5
137.932 21.3287 6
135.314 20.9636 7
132.319 20.3665 8
129.219 19.7603 9
126.307 19.0911 10
124.085 18.8661 11
121.821 18.6218 12
119.362 18.6694 13
116.884 18.6326 14
114.797 18.4113 15
112.756 18.2433 16
111.013 18.1218 17
109.926 17.6693 18
109.042 17.4646 19
0 20
156 20 0
155.057 20.7713 1
153.953 21.0833 2
152.335 21.3891 3
150.384 21.4798 4
148.29 21.6665 5
145.891 21.2627 6
143.267 20.8996 7
140.27 20.3122 8
137.161 19.6866 9
134.237 19.0196 10
132.044 18.8283 11
129.783 18.579 12
127.326 18.624 13
124.847 18.5735 14
122.776 18.3677 15
120.736 18.2096 16
118.967 18.0955 17
117.869 17.654 18
116.976 17.4678 19
0 20
164 20 0
163.054 20.774 1
161.956 21.0705 2
160.337 21.3707 3
158.384 21.4564 4
156.292 21.6295 5
153.88 21.2165 6
151.256 20.8523 7
148.253 20.2939 8
145.143 19.6496 9
142.206 18.9849 10
140.022 18.8061 11
137.771 18.5472 12
135.311 18.5932 13
132.832 18.5335 14
130.765 18.3398 15
128.725 18.1797 16
126.936 18.0727 17
125.822 17.6328 18
124.917 17.4636 19
0 5
4 24 0
3.3734 24.572 1
2.52132 24.8282 2
1.48463 24.9858 3
-0.26893 25.0625 4
0 9
16 24 0
15.3275 24.569 1
14.4334 24.8282 2
13.3406 25.0007 3
11.5797 25.082 4
9.64063 25.181 5
7.57429 25.054 6
5.24766 24.8354 7
2.38087 24.0437 8
0 11
20 24 0
19.3206 24.5691 1
18.4169 24.828 2
17.3145 25.0079 3
15.5492 25.0908 4
13.6072 25.1899 5
11.5355 25.0547 6
9.19127 24.8259 7
6.32667 24.0341 8
3.33232 23.4636 9
0.664392 22.7879 10
0 20
36 24 0
35.3073 24.5683 1
34.3771 24.9278 2
33.2217 25.1636 3
31.4207 25.2559 4
29.4643 25.367 5
27.3403 25.1785 6
24.9414 24.9163 7
22.0778 24.1268 8
19.0968 23.5719 9
16.3828 22.9037 10
14.3106 22.8032 11
12.24 22.6995 12
10.0702 22.7114 13
7.94313 22.6891 14
6.012 22.6107 15
4.34425 22.4809 16
3.06687 22.3523 17
2.40249 21.9153 18
1.94716 21.6449 19
0 20
40 24 0
39.3077 24.5691 1
38.381 25.0094 2
37.2126 25.2672 3
35.4178 25.3678 4
33.4546 25.4912 5
31.3233 25.2881 6
28.8851 25.001 7
26.0179 24.2129 8
23.0384 23.6654 9
20.3155 22.9964 10
18.235 22.8895 11
16.1628 22.7835 12
13.9754 22.7982 13
11.8366 22.7717 14
9.90447 22.6901 15
8.23025 22.5584 16
6.93786 22.4227 17
6.24748 21.9845 18
5.76811 21.7061 19
0 20
44 24 0
43.3091 24.5704 1
42.383 25.0308 2
41.2153 25.2997 3
39.4249 25.4079 4
37.4588 25.5368 5
35.3239 25.3218 6
32.861 25.0296 7
29.9861 24.2376 8
27.0063 23.6866 9
24.2772 23.0102 10
22.1898 22.8987 11
20.1166 22.7919 12
17.9099 22.8116 13
15.7576 22.783 14
13.8243 22.6995 15
12.1225 22.5634 16
10.811 22.4217 17
10.0917 21.9825 18
9.59717 21.6985 19
0 20
52 24 0
51.315 24.5739 1
50.3947 25.0469 2
49.2274 25.3985 3
47.4556 25.5379 4
45.4858 25.6835 5
43.3373 25.4206 6
40.8473 25.1213 7
37.9684 24.3284 8
34.9781 23.764 9
32.2332 23.0737 10
30.1314 22.9516 11
28.054 22.8439 12
25.8106 22.875 13
23.6267 22.8473 14
21.6888 22.7598 15
19.9224 22.608 16
18.5827 22.4432 17
17.8117 22.0058 18
17.2776 21.7007 19
0 20
60 24 0
59.3442 24.5862 1
58.4362 25.0785 2
57.276 25.4538 3
55.5186 25.6263 4
53.5491 25.7873 5
51.389 25.4816 6
48.8774 25.1751 7
46.0032 24.3814 8
43.0001 23.8155 9
40.2505 23.1172 10
38.1298 22.9872 11
36.0455 22.8813 12
33.7757 22.926 13
31.5484 22.9096 14
29.6039 22.8178 15
27.7713 22.674 16
26.4111 22.4916 17
25.6076 22.0516 18
25.0458 21.7352 19
0 20
64 24 0
63.3629 24.596 1
62.4597 25.101 2
61.3036 25.4836 3
59.5554 25.6736 4
57.5857 25.8396 5
55.4232 25.5206 6
52.9003 25.1974 7
50.0305 24.405 8
47.0257 23.8378 9
44.2734 23.1364 10
42.1422 23.0008 11
40.0532 22.8978 12
37.7686 22.951 13
35.5203 22.9434 14
33.5716 22.85 15
31.7321 22.7079 16
30.3625 22.5167 17
29.5451 22.068 18
28.9677 21.7416 19
0 20
68 24 0
67.4819 24.6311 1
66.5988 25.1601 2
65.4491 25.5535 3
63.7333 25.7896 4
61.7633 25.9622 5
59.5991 25.6352 6
57.0589 25.2929 7
54.195 24.5025 8
51.1902 23.9271 9
48.4342 23.2217 10
46.2907 23.0811 11
44.1985 22.9805 12
41.9002 23.0442 13
39.64 23.0424 14
37.6874 22.9476 15
35.8403 22.8078 16
34.4591 22.608 17
33.6304 22.1499 18
33.0399 21.8089 19
1 6
76 24 0
77.1027 25.2726 1
78.467 28.1275 2
79.9352 32.0081 3
81.2613 35.6379 4
81.9385 37.4338 5
1 20
80 24 0
81.1357 25.2284 1
82.5386 28.0907 2
84.0402 31.9828 3
85.4908 35.663 4
86.4106 37.5011 5
86.3945 36.0858 6
85.4333 32.623 7
83.7741 28.0281 8
81.4635 24.0978 9
78.8778 22.0764 10
76.6109 21.7741 11
73.7244 22.7946 12
70.1516 24.9744 13
66.1426 26.8118 14
62.4703 26.7221 15
58.951 25.9978 16
56.8329 24.4801 17
55.6195 22.5087 18
54.997 20.7421 19
1 20
92 24 0
94.325 24.6424 1
97.3202 26.2417 2
100.195 28.8507 3
102.766 31.6149 4
104.469 32.9908 5
104.833 31.4126 6
103.992 27.6264 7
102.409 22.8303 8
100.222 19.0797 9
97.5606 16.3348 10
95.141 15.7854 11
92.1556 16.794 12
88.4428 18.9475 13
84.2008 20.412 14
80.5851 20.131 15
77.2852 19.3194 16
75.1186 17.7356 17
73.8638 15.4584 18
73.1215 13.2213 19
1 20
96 24 0
98.3632 24.6154 1
101.229 26.1154 2
104.05 28.394 3
106.616 30.7392 4
108.404 32.02 5
108.754 30.4367 6
107.733 26.8576 7
106.095 22.1456 8
103.874 18.4474 9
101.205 15.7263 10
98.782 15.1842 11
95.8958 15.88 12
92.2546 17.9987 13
88.013 19.4584 14
84.5405 18.9887 15
81.4515 18.3255 16
79.2286 16.6381 17
78.0077 14.3451 18
77.2441 12.1047 19
1 20
100 24 0
102.342 24.597 1
105.079 26.0342 2
107.639 27.8955 3
110.227 30.0178 4
111.951 31.2723 5
112.224 29.6907 6
111.234 26.1427 7
109.465 21.6462 8
107.259 17.9209 9
104.645 15.2409 10
102.217 14.7108 11
99.4451 15.0825 12
95.8551 17.1904 13
91.7457 18.383 14
88.0905 17.7421 15
85.1486 17.174 16
82.9467 15.4003 17
81.7925 13.1229 18
80.8434 10.9042 19
1 5
104 24 0
106.175 24.6095 1
108.874 26.0122 2
111.169 27.74 3
113.761 29.8323 4
0 4
124 24 0
123.358 24.6551 1
122.426 25.0763 2
120.906 25.4677 3
0 6
128 24 0
127.226 24.6923 1
126.171 25.0769 2
124.618 25.4448 3
122.763 25.618 4
120.7 25.8568 5
0 20
140 24 0
139.095 24.7515 1
138.005 25.1108 2
136.398 25.435 3
134.474 25.5584 4
132.389 25.7887 5
130.026 25.3873 6
127.422 25.0074 7
124.442 24.3643 8
121.356 23.7283 9
118.499 22.9677 10
116.3 22.6415 11
114.022 22.413 12
111.531 22.4929 13
109.032 22.4527 14
106.898 22.2197 15
104.81 22.0083 16
103.082 21.8471 17
102.003 21.3603 18
101.123 21.1293 19
0 20
148 24 0
147.064 24.7698 1
145.966 25.1057 2
144.349 25.4139 3
142.406 25.5155 4
140.322 25.7165 5
137.938 25.3112 6
135.328 24.9324 7
132.335 24.3189 8
